flow_duration,total_packets,packet_size_mean,syn_flag,fin_flag,rst_flag,psh_flag,urg_flag,protocol,label
12000,10,85,1,0,0,0,0,6,SYN
15000,12,90,1,0,0,0,0,6,SYN
11000,9,78,1,0,0,0,0,6,SYN
13000,14,92,1,0,0,0,0,6,SYN
10000,8,70,1,0,0,0,0,6,SYN
8000,5,65,0,1,0,0,0,6,FIN
9000,6,60,0,1,0,0,0,6,FIN
8500,7,62,0,1,0,0,0,6,FIN
9500,6,68,0,1,0,0,0,6,FIN
7800,5,55,0,1,0,0,0,6,FIN
6000,4,50,0,0,0,0,0,6,NULL
6500,5,48,0,0,0,0,0,6,NULL
7000,6,52,0,0,0,0,0,6,NULL
7200,6,55,0,0,0,0,0,6,NULL
6800,4,49,0,0,0,0,0,6,NULL
7500,5,60,0,0,0,1,1,6,Xmas
7700,6,58,0,0,0,1,1,6,Xmas
8000,7,65,0,0,0,1,1,6,Xmas
8200,6,63,0,0,0,1,1,6,Xmas
7800,5,59,0,0,0,1,1,6,Xmas
20000,20,100,0,0,0,0,0,17,UDP
18000,18,95,0,0,0,0,0,17,UDP
21000,21,102,0,0,0,0,0,17,UDP
19500,19,97,0,0,0,0,0,17,UDP
20500,22,110,0,0,0,0,0,17,UDP
50000,40,120,0,0,0,0,0,6,Normal
45000,35,118,0,0,0,0,0,6,Normal
52000,38,125,0,0,0,0,0,6,Normal
48000,36,115,0,0,0,0,0,6,Normal
51000,39,130,0,0,0,0,0,6,Normal
